b010 WMI_ROAM_BTM_CONFIG_CMDID
5024 WMI_VDEV_DELETE_ALL_PEER_CMDID
5025 WMI_VDEV_BSS_MAX_IDLE_TIME_CMDID
16001 WMI_REQUEST_STATS_CMDID
16002 WMI_MCC_SCHED_TRAFFIC_STATS_CMDID
16003 WMI_PEER_LINK_STATS_EVENTID
402a WMI_PDEV_CHECK_CAL_VERSION_CMDID
16004 WMI_REQUEST_LINK_STATS_CMDID
402b WMI_PDEV_SET_DIVERSITY_GAIN_CMDID
16005 WMI_START_LINK_STATS_CMDID
402c WMI_PDEV_DIV_GET_RSSI_ANTID_CMDID
16006 WMI_CLEAR_LINK_STATS_CMDID
402d WMI_PDEV_BSS_CHAN_INFO_REQUEST_CMDID
402e WMI_PDEV_UPDATE_PMK_CACHE_CMDID
16008 WMI_RADIO_TX_POWER_LEVEL_STATS_EVENTID
402f WMI_PDEV_UPDATE_FILS_HLP_PKT_CMDID
16009 WMI_REPORT_STATS_EVENTID
1600a WMI_UPDATE_RCPI_EVENTID
1600b WMI_REQUEST_RCPI_CMDID
1600c WMI_RADIO_CHAN_STATS_EVENTID
1600d WMI_WLM_STATS_EVENTID
1600e WMI_REQUEST_WLM_STATS_CMDID
3 WMI_GRP_SCAN
22 WMI_GRP_STA_SMPS
23 WMI_GRP_WLAN_HB
24 WMI_GRP_RMC
36 WMI_GRP_BPF_OFFLOAD
41 WMI_GRP_ESP
4010 WMI_PDEV_SET_HW_MODE_RESP_EVENTID
